year,coc_number,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2015,PA-511,"Bristol, Bensalem/Bucks County CoC",Suburban CoCs,487,140,309,0,449,38,193,96,64,0,160,33,294,44,245,289,5,101,15,84,99,2,38,28,0,28,10,30,23,0,23,7,8,5,5,3,13,7,2,0,9,4,45,13,26,0,39,6,10,4,6,0,10,0,35,9,20,0,29,6,31,1,30,31,0,0,0,0,0,0,31,1,30,31,0,46,1,45,46,0
2015,PA-512,York City & County CoC,Suburban CoCs,345,165,136,0,301,44,158,74,60,0,134,24,187,91,76,167,20,55,27,22,49,6,29,12,0,12,17,15,10,0,10,5,14,2,2,12,30,10,15,0,25,5,18,7,1,0,8,10,8,0,0,0,0,8,10,7,1,0,8,2,13,9,4,13,0,0,0,0,0,0,13,9,4,13,0,19,10,9,19,0
2015,PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Suburban CoCs,1424,440,877,69,1386,38,919,308,504,69,881,38,505,132,373,505,0,164,44,120,164,0,154,69,69,138,16,150,65,69,134,16,4,4,4,0,216,74,123,10,207,9,99,24,70,1,95,4,0,0,0,0,0,0,99,24,70,1,95,4,34,4,30,34,0,0,0,0,0,0,34,4,30,34,0,54,6,48,54,0
2015,PA-601,Western Pennsylvania CoC,Rural CoCs,1002,448,436,53,937,65,567,303,156,53,512,55,435,145,280,425,10,143,49,91,140,3,91,62,6,68,23,89,60,6,66,23,2,2,2,0,135,69,62,3,134,1,61,27,22,5,54,7,1,0,1,0,1,0,60,27,21,5,53,7,20,10,10,20,0,0,0,0,0,0,20,10,10,20,0,26,12,14,26,0
2015,PA-603,Beaver County CoC,Suburban CoCs,120,61,52,0,113,7,48,23,20,0,43,5,72,38,32,70,2,25,14,10,24,1,9,6,0,6,3,3,2,0,2,1,6,4,4,2,1,1,0,0,1,0,9,6,3,0,9,0,0,0,0,0,0,0,9,6,3,0,9,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
2015,PA-605,Erie City & County CoC,Suburban CoCs,410,222,166,6,394,16,289,189,78,6,273,16,121,33,88,121,0,44,11,33,44,0,30,30,0,30,0,28,28,0,28,0,2,2,2,0,15,6,9,0,15,0,41,27,8,6,41,0,0,0,0,0,0,0,41,27,8,6,41,0,12,2,10,12,0,0,0,0,0,0,12,2,10,12,0,17,2,15,17,0
2015,PR-502,Puerto Rico Balance of Commonwealth CoC,Suburban CoCs,2422,183,663,22,868,1554,2112,150,453,22,625,1487,310,33,210,243,67,92,9,67,76,16,893,72,0,72,821,826,72,0,72,754,67,0,0,67,95,5,18,0,23,72,106,24,22,0,46,60,12,11,0,0,11,1,94,13,22,0,35,59,22,2,20,22,0,0,0,0,0,0,22,2,20,22,0,31,5,26,31,0
2015,PR-503,South-Southeast Puerto Rico CoC,Suburban CoCs,2096,216,296,41,553,1543,1817,197,166,41,404,1413,279,19,130,149,130,78,6,39,45,33,863,100,23,123,740,789,100,23,123,666,74,0,0,74,69,8,23,1,32,37,67,7,6,3,16,51,1,0,0,0,0,1,66,7,6,3,16,50,13,2,7,9,4,0,0,0,0,0,13,2,7,9,4,26,3,15,18,8
2015,RI-500,Rhode Island Statewide CoC,Suburban CoCs,1111,743,332,0,1075,36,706,530,143,0,673,33,405,213,189,402,3,112,59,52,111,1,130,118,0,118,12,110,100,0,100,10,20,18,18,2,107,35,70,0,105,2,47,34,5,0,39,8,4,1,3,0,4,0,43,33,2,0,35,8,35,13,22,35,0,0,0,0,0,0,35,13,22,35,0,44,11,33,44,0
2015,SC-500,Charleston/Low Country CoC,Suburban CoCs,606,221,220,0,441,165,526,165,196,0,361,165,80,56,24,80,0,30,19,11,30,0,117,48,0,48,69,117,48,0,48,69,0,0,0,0,178,23,140,0,163,15,11,5,1,0,6,5,0,0,0,0,0,0,11,5,1,0,6,5,12,3,9,12,0,0,0,0,0,0,12,3,9,12,0,14,5,9,14,0
2015,SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Suburban CoCs,1961,683,860,12,1555,406,1362,427,543,12,982,380,599,256,317,573,26,196,79,107,186,10,407,263,12,275,132,345,206,12,218,127,62,57,57,5,101,31,43,0,74,27,22,9,9,1,19,3,1,0,0,0,0,1,21,9,9,1,19,2,37,11,24,35,2,0,0,0,0,0,37,11,24,35,2,53,17,30,47,6
2015,SC-502,Columbia/Midlands CoC,Suburban CoCs,1468,574,492,0,1066,402,1189,507,303,0,810,379,279,67,189,256,23,91,20,63,83,8,319,187,0,187,132,298,175,0,175,123,21,12,12,9,221,51,142,0,193,28,53,29,18,0,47,6,4,4,0,0,4,0,49,25,18,0,43,6,14,5,7,12,2,1,0,0,0,1,13,5,7,12,1,28,9,17,26,2
2015,SC-503,"Myrtle Beach, Sumter City & County CoC",Rural CoCs,1319,161,235,0,396,923,857,118,194,0,312,545,462,43,41,84,378,193,18,15,33,160,177,15,0,15,162,156,15,0,15,141,21,0,0,21,181,21,19,0,40,141,109,25,29,0,54,55,8,8,0,0,8,0,101,17,29,0,46,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,SD-500,South Dakota Statewide CoC,Rural CoCs,1036,642,258,0,900,136,630,412,94,0,506,124,406,230,164,394,12,125,71,51,122,3,95,67,0,67,28,85,59,0,59,26,10,8,8,2,177,85,85,0,170,7,108,68,15,0,83,25,8,6,2,0,8,0,100,62,13,0,75,25,29,11,18,29,0,0,0,0,0,0,29,11,18,29,0,36,17,19,36,0
2015,TN-500,Chattanooga/Southeast Tennessee CoC,Rural CoCs,636,375,114,0,489,147,430,288,33,0,321,109,206,87,81,168,38,71,28,29,57,14,126,71,0,71,55,110,61,0,61,49,16,10,10,6,82,53,12,0,65,17,22,15,1,0,16,6,0,0,0,0,0,0,22,15,1,0,16,6,17,8,7,15,2,0,0,0,0,0,17,8,7,15,2,28,15,10,25,3
2015,TN-501,Memphis/Shelby County CoC,Major Cities,1525,511,936,0,1447,78,1007,360,569,0,929,78,518,151,367,518,0,155,41,114,155,0,92,71,0,71,21,88,67,0,67,21,4,4,4,0,226,52,169,0,221,5,123,79,40,0,119,4,0,0,0,0,0,0,123,79,40,0,119,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,TN-502,Knoxville/Knox County CoC,Suburban CoCs,783,411,276,0,687,96,685,351,243,0,594,91,98,60,33,93,5,32,19,11,30,2,108,44,0,44,64,103,44,0,44,59,5,0,0,5,102,41,54,0,95,7,46,22,22,0,44,2,0,0,0,0,0,0,46,22,22,0,44,2,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0
2015,TN-503,Central Tennessee CoC,Rural CoCs,268,99,110,0,209,59,189,59,79,0,138,51,79,40,31,71,8,28,18,7,25,3,54,39,0,39,15,39,24,0,24,15,15,15,15,0,56,12,41,0,53,3,23,8,7,0,15,8,0,0,0,0,0,0,23,8,7,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,TN-504,Nashville-Davidson County CoC,Major Cities,2154,1116,560,8,1684,470,1760,974,308,8,1290,470,394,142,252,394,0,130,48,82,130,0,661,304,0,304,357,647,290,0,290,357,14,14,14,0,236,84,105,0,189,47,206,159,23,0,182,24,1,0,0,0,0,1,205,159,23,0,182,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,TN-506,Upper Cumberland CoC,Rural CoCs,362,91,85,0,176,186,275,64,36,0,100,175,87,27,49,76,11,24,9,11,20,4,36,2,0,2,34,27,1,0,1,26,9,1,1,8,15,0,0,0,0,15,12,4,3,0,7,5,0,0,0,0,0,0,12,4,3,0,7,5,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,5,2,3,5,0
2015,TN-507,Jackson/West Tennessee CoC,Rural CoCs,1563,91,53,7,151,1412,985,58,30,7,95,890,578,33,23,56,522,230,15,7,22,208,255,29,7,36,219,184,25,7,32,152,71,4,4,67,67,9,0,2,11,56,98,5,4,0,9,89,0,0,0,0,0,0,98,5,4,0,9,89,25,3,2,5,20,0,0,0,0,0,25,3,2,5,20,37,4,3,7,30
2015,TN-509,Appalachian Regional CoC,Rural CoCs,577,322,103,0,425,152,438,244,46,0,290,148,139,78,57,135,4,37,21,15,36,1,130,68,0,68,62,130,68,0,68,62,0,0,0,0,127,75,35,0,110,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,4,4,0,4,0
2015,TN-510,Murfreesboro/Rutherford County CoC,Suburban CoCs,289,133,36,0,169,120,221,81,27,0,108,113,68,52,9,61,7,26,21,3,24,2,39,14,0,14,25,36,14,0,14,22,3,0,0,3,16,7,3,0,10,6,53,19,6,0,25,28,0,0,0,0,0,0,53,19,6,0,25,28,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,5,2,0,2,3
2015,TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Rural CoCs,966,391,51,0,442,524,526,172,38,0,210,316,440,219,13,232,208,136,75,4,79,57,149,53,0,53,96,128,47,0,47,81,21,6,6,15,18,2,0,0,2,16,90,30,7,0,37,53,13,3,0,0,3,10,77,27,7,0,34,43,10,4,0,4,6,0,0,0,0,0,10,4,0,4,6,13,4,0,4,9
2015,TX-500,San Antonio/Bexar County CoC,Major Cities,2891,1063,629,41,1733,1158,2065,693,201,41,935,1130,826,370,428,798,28,264,118,138,256,8,691,310,41,351,340,632,279,41,320,312,59,31,31,28,284,73,116,1,190,94,133,39,11,0,50,83,6,3,0,0,3,3,127,36,11,0,47,80,16,14,0,14,2,0,0,0,0,0,16,14,0,14,2,24,19,0,19,5
2015,TX-503,Austin/Travis County CoC,Major Cities,1832,768,384,13,1165,667,1266,531,63,13,607,659,566,237,321,558,8,174,75,97,172,2,494,143,5,148,346,477,126,5,131,346,17,17,17,0,238,81,35,13,129,109,95,36,9,0,45,50,8,8,0,0,8,0,87,28,9,0,37,50,36,6,30,36,0,1,0,1,1,0,35,6,29,35,0,57,10,47,57,0
2015,TX-600,"Dallas City & County, Irving CoC",Major Cities,3141,1775,980,23,2778,363,2219,1486,354,23,1863,356,922,289,626,915,7,288,97,189,286,2,615,428,23,451,164,586,399,23,422,164,29,29,29,0,291,138,104,0,242,49,157,76,58,0,134,23,22,22,0,0,22,0,135,54,58,0,112,23,47,16,31,47,0,1,0,1,1,0,46,16,30,46,0,55,17,38,55,0
2015,TX-601,"Fort Worth, Arlington/Tarrant County CoC",Major Cities,1914,1245,432,20,1697,217,1351,943,171,20,1134,217,563,302,261,563,0,182,93,89,182,0,136,94,15,109,27,128,86,15,101,27,8,8,8,0,193,79,92,3,174,19,54,42,3,0,45,9,12,12,0,0,12,0,42,30,3,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,TX-603,El Paso City & County CoC,Major Cities,1107,523,462,20,1005,102,612,375,115,20,510,102,495,148,347,495,0,138,44,94,138,0,132,98,8,106,26,101,67,8,75,26,31,31,31,0,92,45,27,2,74,18,47,23,17,0,40,7,6,6,0,0,6,0,41,17,17,0,34,7,21,10,11,21,0,0,0,0,0,0,21,10,11,21,0,53,21,32,53,0
2015,TX-604,Waco/McLennan County CoC,Rural CoCs,255,96,93,2,191,64,157,74,21,2,97,60,98,22,72,94,4,29,7,21,28,1,44,18,0,18,26,40,18,0,18,22,4,0,0,4,30,11,3,0,14,16,14,5,1,1,7,7,0,0,0,0,0,0,14,5,1,1,7,7,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,7,0,7,7,0
2015,TX-607,Texas Balance of State CoC,Rural CoCs,7016,2947,1143,0,4090,2926,4643,1815,296,0,2111,2532,2373,1132,847,1979,394,747,339,271,610,137,1428,525,0,525,903,1099,318,0,318,781,329,207,207,122,653,210,69,0,279,374,526,227,54,0,281,245,122,72,30,0,102,20,404,155,24,0,179,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,TX-611,Amarillo CoC,Other Urban CoCs,478,398,74,0,472,6,318,310,2,0,312,6,160,88,72,160,0,49,29,20,49,0,69,66,0,66,3,69,66,0,66,3,0,0,0,0,46,46,0,0,46,0,20,20,0,0,20,0,0,0,0,0,0,0,20,20,0,0,20,0,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,6,4,2,6,0
2015,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Rural CoCs,267,227,20,0,247,20,178,158,0,0,158,20,89,69,20,89,0,32,26,6,32,0,80,80,0,80,0,40,40,0,40,0,40,40,40,0,1,1,0,0,1,0,38,20,0,0,20,18,13,13,0,0,13,0,25,7,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Major Cities,4609,1101,1558,0,2659,1950,3366,599,831,0,1430,1936,1243,502,727,1229,14,390,150,233,383,7,600,57,0,57,543,591,48,0,48,543,9,9,9,0,563,99,240,0,339,224,325,73,75,0,148,177,29,19,0,0,19,10,296,54,75,0,129,167,33,10,22,32,1,1,1,0,1,0,32,9,22,31,1,50,13,34,47,3
2015,TX-701,"Bryan, College Station/Brazos Valley CoC",Other Urban CoCs,168,101,54,0,155,13,90,66,11,0,77,13,78,35,43,78,0,23,8,15,23,0,15,4,0,4,11,15,4,0,4,11,0,0,0,0,2,2,0,0,2,0,7,5,2,0,7,0,0,0,0,0,0,0,7,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,UT-500,Salt Lake City & County CoC,Suburban CoCs,2176,1411,653,22,2086,90,1346,932,308,22,1262,84,830,479,345,824,6,243,143,98,241,2,182,172,2,174,8,151,141,2,143,8,31,31,31,0,288,106,170,2,278,10,72,36,27,1,64,8,0,0,0,0,0,0,72,36,27,1,64,8,24,14,10,24,0,0,0,0,0,0,24,14,10,24,0,30,18,12,30,0
2015,UT-503,Utah Balance of State CoC,Suburban CoCs,646,415,133,0,548,98,357,256,16,0,272,85,289,159,117,276,13,91,52,35,87,4,46,39,0,39,7,22,20,0,20,2,24,19,19,5,40,22,10,0,32,8,40,27,0,0,27,13,0,0,0,0,0,0,40,27,0,0,27,13,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,2,2,0,2,0
2015,UT-504,Provo/Mountainland CoC,Suburban CoCs,203,86,79,0,165,38,106,44,27,0,71,35,97,42,52,94,3,30,13,16,29,1,5,2,0,2,3,5,2,0,2,3,0,0,0,0,9,0,3,0,3,6,20,15,0,0,15,5,11,11,0,0,11,0,9,4,0,0,4,5,7,5,2,7,0,0,0,0,0,0,7,5,2,7,0,8,7,1,8,0
2015,VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Suburban CoCs,818,422,298,12,732,86,671,335,238,12,585,86,147,87,60,147,0,55,32,23,55,0,124,91,10,101,23,109,76,10,86,23,15,15,15,0,121,60,44,11,115,6,36,17,14,0,31,5,0,0,0,0,0,0,36,17,14,0,31,5,11,5,6,11,0,0,0,0,0,0,11,5,6,11,0,15,6,9,15,0
2015,VA-501,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",Suburban CoCs,735,496,184,0,680,55,486,385,48,0,433,53,249,111,136,247,2,77,38,38,76,1,75,68,0,68,7,73,66,0,66,7,2,2,2,0,82,64,8,0,72,10,29,22,4,0,26,3,0,0,0,0,0,0,29,22,4,0,26,3,16,10,6,16,0,0,0,0,0,0,16,10,6,16,0,22,12,10,22,0
2015,VA-502,"Roanoke City & County, Salem CoC",Suburban CoCs,390,366,12,0,378,12,260,236,12,0,248,12,130,130,0,130,0,42,42,0,42,0,80,78,0,78,2,73,71,0,71,2,7,7,7,0,45,33,10,0,43,2,16,16,0,0,16,0,0,0,0,0,0,0,16,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,VA-503,Virginia Beach CoC,Major Cities,419,217,144,0,361,58,240,156,28,0,184,56,179,61,116,177,2,60,25,34,59,1,108,68,0,68,40,108,68,0,68,40,0,0,0,0,58,23,19,0,42,16,28,27,1,0,28,0,11,11,0,0,11,0,17,16,1,0,17,0,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,8,5,3,8,0
2015,VA-504,Charlottesville CoC,Rural CoCs,185,113,47,0,160,25,127,100,2,0,102,25,58,13,45,58,0,20,5,15,20,0,33,12,0,12,21,31,10,0,10,21,2,2,2,0,12,8,0,0,8,4,9,8,0,0,8,1,0,0,0,0,0,0,9,8,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Other Urban CoCs,520,328,100,22,450,70,351,224,40,22,286,65,169,104,60,164,5,49,28,20,48,1,47,21,3,24,23,47,21,3,24,23,0,0,0,0,96,62,29,0,91,5,17,14,0,0,14,3,0,0,0,0,0,0,17,14,0,0,14,3,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,8,4,4,8,0
2015,VA-507,Portsmouth CoC,Other Urban CoCs,174,91,36,0,127,47,107,38,22,0,60,47,67,53,14,67,0,23,18,5,23,0,32,12,0,12,20,32,12,0,12,20,0,0,0,0,9,4,2,0,6,3,7,2,2,0,4,3,0,0,0,0,0,0,7,2,2,0,4,3,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0
2015,VA-508,Lynchburg CoC,Rural CoCs,237,172,55,0,227,10,150,118,22,0,140,10,87,54,33,87,0,25,17,8,25,0,24,23,0,23,1,11,10,0,10,1,13,13,13,0,18,14,1,0,15,3,24,23,0,0,23,1,0,0,0,0,0,0,24,23,0,0,23,1,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0
2015,VA-513,"Harrisburg, Winchester/Western Virginia CoC",Rural CoCs,242,230,0,0,230,12,167,158,0,0,158,9,75,72,0,72,3,24,23,0,23,1,61,51,0,51,10,54,47,0,47,7,7,4,4,3,12,10,0,0,10,2,29,28,0,0,28,1,0,0,0,0,0,0,29,28,0,0,28,1,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,6,6,0,6,0
2015,VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",Suburban CoCs,217,154,25,0,179,38,123,94,0,0,94,29,94,60,25,85,9,29,18,9,27,2,51,17,0,17,34,42,17,0,17,25,9,0,0,9,13,8,1,0,9,4,13,9,0,0,9,4,0,0,0,0,0,0,13,9,0,0,9,4,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,9,5,4,9,0
2015,VA-521,Virginia Balance of State CoC,Rural CoCs,773,542,92,0,634,139,431,297,23,0,320,111,342,245,69,314,28,117,84,24,108,9,90,42,0,42,48,57,27,0,27,30,33,15,15,18,38,25,1,0,26,12,31,23,2,0,25,6,0,0,0,0,0,0,31,23,2,0,25,6,19,13,4,17,2,0,0,0,0,0,19,13,4,17,2,24,19,4,23,1
2015,VA-600,Arlington County CoC,Other Urban CoCs,239,184,10,6,200,39,164,113,6,6,125,39,75,71,4,75,0,22,20,2,22,0,70,45,6,51,19,68,43,6,49,19,2,2,2,0,19,12,0,0,12,7,5,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,0,8,6,2,8,0,0,0,0,0,0,8,6,2,8,0,10,8,2,10,0
2015,VA-601,Fairfax County CoC,Suburban CoCs,1204,706,430,0,1136,68,489,394,27,0,421,68,715,312,403,715,0,213,95,118,213,0,219,171,0,171,48,203,155,0,155,48,16,16,16,0,46,31,10,0,41,5,53,28,21,0,49,4,1,1,0,0,1,0,52,27,21,0,48,4,29,14,15,29,0,0,0,0,0,0,29,14,15,29,0,38,22,16,38,0
2015,VA-602,Loudoun County CoC,Suburban CoCs,172,58,75,0,133,39,80,28,13,0,41,39,92,30,62,92,0,28,11,17,28,0,20,10,0,10,10,18,8,0,8,10,2,2,2,0,5,1,0,0,1,4,7,1,1,0,2,5,0,0,0,0,0,0,7,1,1,0,2,5,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,3,1,2,3,0
2015,VA-603,Alexandria CoC,Other Urban CoCs,267,179,56,9,244,23,159,112,15,9,136,23,108,67,41,108,0,34,19,15,34,0,54,37,1,38,16,48,31,1,32,16,6,6,6,0,12,6,3,1,10,2,6,4,1,1,6,0,0,0,0,0,0,0,6,4,1,1,6,0,10,4,6,10,0,0,0,0,0,0,10,4,6,10,0,17,7,10,17,0
2015,VA-604,Prince William County CoC,Suburban CoCs,409,195,124,0,319,90,185,96,5,0,101,84,224,99,119,218,6,72,31,40,71,1,70,23,0,23,47,67,20,0,20,47,3,3,3,0,18,9,3,0,12,6,20,14,0,0,14,6,0,0,0,0,0,0,20,14,0,0,14,6,10,1,9,10,0,0,0,0,0,0,10,1,9,10,0,19,1,18,19,0
2015,VI-500,Virgin Islands CoC,Rural CoCs,337,53,32,0,85,252,308,36,20,0,56,252,29,17,12,29,0,10,7,3,10,0,22,4,0,4,18,22,4,0,4,18,0,0,0,0,34,4,0,0,4,30,12,2,2,0,4,8,0,0,0,0,0,0,12,2,2,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,VT-500,Vermont Balance of State CoC,Rural CoCs,1052,756,224,4,984,68,572,377,123,4,504,68,480,379,101,480,0,158,124,34,158,0,65,53,0,53,12,43,31,0,31,12,22,22,22,0,94,32,57,0,89,5,62,36,18,0,54,8,2,1,1,0,2,0,60,35,17,0,52,8,32,24,8,32,0,1,1,0,1,0,31,23,8,31,0,33,25,8,33,0
2015,VT-501,Burlington/Chittenden County CoC,Other Urban CoCs,471,326,63,0,389,82,338,246,25,0,271,67,133,80,38,118,15,43,27,12,39,4,101,58,0,58,43,96,53,0,53,43,5,5,5,0,25,10,14,0,24,1,39,26,7,0,33,6,2,1,0,0,1,1,37,25,7,0,32,5,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,0
2015,WA-500,Seattle/King County CoC,Major Cities,10122,3282,2993,44,6319,3803,7053,2299,938,44,3281,3772,3069,983,2055,3038,31,975,282,684,966,9,823,444,28,472,351,812,433,28,461,351,11,11,11,0,608,268,227,4,499,109,701,131,181,1,313,388,42,8,3,0,11,31,659,123,178,1,302,357,140,47,93,140,0,5,1,4,5,0,135,46,89,135,0,149,47,102,149,0
2015,WA-501,Washington Balance of State CoC,Rural CoCs,5489,1573,1589,0,3162,2327,3161,948,487,0,1435,1726,2328,625,1102,1727,601,709,193,359,552,157,975,258,0,258,717,835,198,0,198,637,140,60,60,80,350,76,104,0,180,170,351,101,87,0,188,163,49,24,6,0,30,19,302,77,81,0,158,144,102,17,72,89,13,1,0,0,0,1,101,17,72,89,12,119,18,94,112,7
2015,WA-502,Spokane City & County CoC,Other Urban CoCs,1034,579,323,0,902,132,652,416,120,0,536,116,382,163,203,366,16,121,50,65,115,6,219,156,0,156,63,198,135,0,135,63,21,21,21,0,101,45,46,0,91,10,68,35,20,0,55,13,15,14,0,0,14,1,53,21,20,0,41,12,16,7,9,16,0,1,0,1,1,0,15,7,8,15,0,20,10,10,20,0
2015,WA-503,"Tacoma, Lakewood/Pierce County CoC",Suburban CoCs,1283,586,356,0,942,341,762,385,75,0,460,302,521,201,281,482,39,154,57,85,142,12,202,69,0,69,133,191,61,0,61,130,11,8,8,3,138,52,8,0,60,78,89,27,41,0,68,21,5,2,2,0,4,1,84,25,39,0,64,20,25,8,17,25,0,0,0,0,0,0,25,8,17,25,0,37,14,23,37,0
2015,WA-504,Everett/Snohomish County CoC,Suburban CoCs,829,378,139,0,517,312,598,222,80,0,302,296,231,156,59,215,16,80,55,20,75,5,160,19,0,19,141,144,15,0,15,129,16,4,4,12,64,31,1,0,32,32,88,27,26,0,53,35,26,12,12,0,24,2,62,15,14,0,29,33,18,9,8,17,1,3,0,3,3,0,15,9,5,14,1,21,9,10,19,2
2015,WA-508,Vancouver/Clark County CoC,Suburban CoCs,662,226,230,0,456,206,300,105,81,0,186,114,362,121,149,270,92,115,37,49,86,29,103,53,0,53,50,81,38,0,38,43,22,15,15,7,32,10,14,0,24,8,44,16,7,0,23,21,17,8,0,0,8,9,27,8,7,0,15,12,9,4,5,9,0,2,0,2,2,0,7,4,3,7,0,5,3,2,5,0
