year,coc_name,coc_number,ahar_part_1_coc_category
2015,Puerto Rico Balance of Commonwealth,PR-502,Balance of State and Statewide CoCs
2017,South-Southeast Puerto Rico,PR-503,"Smaller Cities, Counties, and Regional CoCs"
2015,South/Southeast Puerto Rico,PR-503,"Smaller Cities, Counties, and Regional CoCs"
2016,South-Southeast Puerto Rico,PR-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Rhode Island Statewide,RI-500,Balance of State and Statewide CoCs
2015,Rhode Island Statewide,RI-500,Balance of State and Statewide CoCs
2016,Rhode Island Statewide,RI-500,Balance of State and Statewide CoCs
2015,Charleston/Low Country,SC-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Charleston/Low Country,SC-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Charleston/Low Country,SC-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Greenville/Anderson/Spartanburg Upstate,SC-501,"Smaller Cities, Counties, and Regional CoCs"
2016,"Greenville, Anderson, Spartanburg/Upstate",SC-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Greenville, Anderson, Spartanburg/Upstate",SC-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Columbia/Midlands,SC-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Columbia/Midlands,SC-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Columbia/Midlands,SC-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Myrtle Beach/Sumter City & County,SC-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Myrtle Beach, Sumter City & County",SC-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Myrtle Beach, Sumter City & County",SC-503,"Smaller Cities, Counties, and Regional CoCs"
2016,South Dakota Statewide,SD-500,Balance of State and Statewide CoCs
2015,South Dakota Statewide,SD-500,Balance of State and Statewide CoCs
2017,South Dakota Statewide,SD-500,Balance of State and Statewide CoCs
2016,Chattanooga/Southeast Tennessee,TN-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Chattanooga/Southeast Tennessee,TN-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Chattanooga/Southeast Tennessee,TN-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Memphis/Shelby County,TN-501,Major Cities
2015,Memphis/Shelby County,TN-501,Major Cities
2016,Memphis/Shelby County,TN-501,Major Cities
2016,Knoxville/Knox County,TN-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Knoxville/Knox County,TN-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Knoxville/Knox County,TN-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Central Tennessee,TN-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Central Tennessee,TN-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Central Tennessee,TN-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Nashville-Davidson County,TN-504,Major Cities
2016,Nashville-Davidson County,TN-504,Major Cities
2015,Nashville/Davidson County,TN-504,Major Cities
2016,Upper Cumberland,TN-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Upper Cumberland,TN-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Oak Ridge/Upper Cumberland,TN-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Jackson/West Tennessee,TN-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Jackson/West Tennessee,TN-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Jackson/West Tennessee,TN-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Appalachian Regional,TN-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Appalachian Regional,TN-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Appalachian Regional,TN-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Murfreesboro/Rutherford County,TN-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Murfreesboro/Rutherford County,TN-510,"Smaller Cities, Counties, and Regional CoCs"
2017,Murfreesboro/Rutherford County,TN-510,"Smaller Cities, Counties, and Regional CoCs"
2015,"Morristown/Blount, Sevier, Campbell, Cocke Counties",TN-512,"Smaller Cities, Counties, and Regional CoCs"
2017,"Morristown/Blount, Sevier, Campbell, Cocke Counties",TN-512,"Smaller Cities, Counties, and Regional CoCs"
2016,"Morristown/Blount, Sevier, Campbell, Cocke Counties",TN-512,"Smaller Cities, Counties, and Regional CoCs"
2015,San Antonio/Bexar County,TX-500,Major Cities
2017,San Antonio/Bexar County,TX-500,Major Cities
2016,San Antonio/Bexar County,TX-500,Major Cities
2015,Austin/Travis County,TX-503,Major Cities
2017,Austin/Travis County,TX-503,Major Cities
2016,Austin/Travis County,TX-503,Major Cities
2016,"Dallas City & County, Irving",TX-600,Major Cities
2015,Dallas City & County/Irving,TX-600,Major Cities
2017,"Dallas City & County, Irving",TX-600,Major Cities
2015,Fort Worth/Arlington/Tarrant County,TX-601,Major Cities
2016,"Fort Worth, Arlington/Tarrant County",TX-601,Major Cities
2017,"Fort Worth, Arlington/Tarrant County",TX-601,Major Cities
2017,El Paso City & County,TX-603,Major Cities
2016,El Paso City & County,TX-603,Major Cities
2015,El Paso City & County,TX-603,Major Cities
2017,Waco/McLennan County,TX-604,"Smaller Cities, Counties, and Regional CoCs"
2015,Waco/McLennan County,TX-604,"Smaller Cities, Counties, and Regional CoCs"
2016,Waco/McLennan County,TX-604,"Smaller Cities, Counties, and Regional CoCs"
2017,Texas Balance of State,TX-607,Balance of State and Statewide CoCs
2015,Texas Balance of State (BoS),TX-607,Balance of State and Statewide CoCs
2016,Texas Balance of State,TX-607,Balance of State and Statewide CoCs
2015,Amarillo,TX-611,"Smaller Cities, Counties, and Regional CoCs"
2016,Amarillo,TX-611,"Smaller Cities, Counties, and Regional CoCs"
2017,Amarillo,TX-611,"Smaller Cities, Counties, and Regional CoCs"
2015,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",TX-624,"Smaller Cities, Counties, and Regional CoCs"
2016,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",TX-624,"Smaller Cities, Counties, and Regional CoCs"
2017,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",TX-624,"Smaller Cities, Counties, and Regional CoCs"
2016,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties",TX-700,Major Cities
2015,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties",TX-700,Major Cities
2017,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties",TX-700,Major Cities
2016,"Bryan, College Station/Brazos Valley",TX-701,"Smaller Cities, Counties, and Regional CoCs"
2017,"Bryan, College Station/Brazos Valley",TX-701,"Smaller Cities, Counties, and Regional CoCs"
2015,Bryan/College Station/Brazos Valley,TX-701,"Smaller Cities, Counties, and Regional CoCs"
2016,Salt Lake City & County,UT-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Salt Lake City & County,UT-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Salt Lake City & County,UT-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Utah Balance of State,UT-503,Balance of State and Statewide CoCs
2015,Utah Balance of State,UT-503,Balance of State and Statewide CoCs
2017,Utah Balance of State,UT-503,Balance of State and Statewide CoCs
2017,Provo/Mountainland,UT-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Provo/Mountainland,UT-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Provo/Mountainland,UT-504,"Smaller Cities, Counties, and Regional CoCs"
2017,"Richmond/Henrico, Chesterfield, Hanover Counties",VA-500,"Smaller Cities, Counties, and Regional CoCs"
2016,"Richmond/Henrico, Chesterfield, Hanover Counties",VA-500,"Smaller Cities, Counties, and Regional CoCs"
2015,"Richmond/Henrico, Chesterfield, Hanover Counties",VA-500,"Smaller Cities, Counties, and Regional CoCs"
2015,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties",VA-501,"Smaller Cities, Counties, and Regional CoCs"
2016,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties",VA-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties",VA-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Roanoke City & County, Salem",VA-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Roanoke City & County/Salem,VA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Roanoke City & County, Salem",VA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Virginia Beach,VA-503,Major Cities
2015,Virginia Beach,VA-503,Major Cities
2017,Virginia Beach,VA-503,Major Cities
2015,Charlottesville,VA-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Charlottesville,VA-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Charlottesville,VA-504,"Smaller Cities, Counties, and Regional CoCs"
2017,"Newport News, Hampton/Virginia Peninsula",VA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Newport News/Hampton/Virginia Peninsula,VA-505,"Smaller Cities, Counties, and Regional CoCs"
2016,"Newport News, Hampton/Virginia Peninsula",VA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Portsmouth,VA-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Portsmouth,VA-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Portsmouth,VA-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Lynchburg,VA-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Lynchburg,VA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Lynchburg,VA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,"Harrisburg, Winchester/Western Virginia",VA-513,"Smaller Cities, Counties, and Regional CoCs"
2016,"Harrisburg, Winchester/Western Virginia",VA-513,"Smaller Cities, Counties, and Regional CoCs"
2015,"Harrisburg, Winchester/Western Virginia",VA-513,"Smaller Cities, Counties, and Regional CoCs"
2016,"Fredericksburg/Spotsylvania, Stafford Counties",VA-514,"Smaller Cities, Counties, and Regional CoCs"
2015,"Fredericksburg/Spotsylvania, Stafford Counties",VA-514,"Smaller Cities, Counties, and Regional CoCs"
2017,"Fredericksburg/Spotsylvania, Stafford Counties",VA-514,"Smaller Cities, Counties, and Regional CoCs"
2015,Virginia Balance of State (BoS),VA-521,Balance of State and Statewide CoCs
2017,Virginia Balance of State,VA-521,Balance of State and Statewide CoCs
2016,Virginia Balance of State,VA-521,Balance of State and Statewide CoCs
2015,Arlington County,VA-600,"Smaller Cities, Counties, and Regional CoCs"
2016,Arlington County,VA-600,"Smaller Cities, Counties, and Regional CoCs"
2017,Arlington County,VA-600,"Smaller Cities, Counties, and Regional CoCs"
2016,Fairfax County,VA-601,"Smaller Cities, Counties, and Regional CoCs"
2017,Fairfax County,VA-601,"Smaller Cities, Counties, and Regional CoCs"
2015,Fairfax County,VA-601,"Smaller Cities, Counties, and Regional CoCs"
2015,Loudoun County,VA-602,"Smaller Cities, Counties, and Regional CoCs"
2016,Loudoun County,VA-602,"Smaller Cities, Counties, and Regional CoCs"
2017,Loudoun County,VA-602,"Smaller Cities, Counties, and Regional CoCs"
2017,Alexandria,VA-603,"Smaller Cities, Counties, and Regional CoCs"
2015,City of Alexandria,VA-603,"Smaller Cities, Counties, and Regional CoCs"
2016,Alexandria,VA-603,"Smaller Cities, Counties, and Regional CoCs"
2015,Prince William County,VA-604,"Smaller Cities, Counties, and Regional CoCs"
2016,Prince William County,VA-604,"Smaller Cities, Counties, and Regional CoCs"
2017,Prince William County,VA-604,"Smaller Cities, Counties, and Regional CoCs"
2016,Virgin Islands,VI-500,Balance of State and Statewide CoCs
2015,Virgin Islands,VI-500,Balance of State and Statewide CoCs
2017,Virgin Islands,VI-500,Balance of State and Statewide CoCs
2016,Vermont Balance of State,VT-500,Balance of State and Statewide CoCs
2017,Vermont Balance of State,VT-500,Balance of State and Statewide CoCs
2015,Vermont Balance of State,VT-500,Balance of State and Statewide CoCs
2017,Burlington/Chittenden County,VT-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Burlington/Chittenden County,VT-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Burlington/Chittenden County,VT-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Seattle/King County,WA-500,Major Cities
2017,Seattle/King County,WA-500,Major Cities
2015,Seattle/King County,WA-500,Major Cities
2015,Washington Balance of State,WA-501,Balance of State and Statewide CoCs
2016,Washington Balance of State,WA-501,Balance of State and Statewide CoCs
2017,Washington Balance of State,WA-501,Balance of State and Statewide CoCs
2016,Spokane City & County,WA-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Spokane City & County,WA-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Spokane City & County,WA-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Tacoma/Lakewood/Pierce County,WA-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Tacoma, Lakewood/Pierce County",WA-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Tacoma, Lakewood/Pierce County",WA-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Everett/Snohomish County,WA-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Everett/Snohomish County,WA-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Everett/Snohomish County,WA-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Yakima City & County,WA-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Yakima City & County,WA-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Vancouver/Clark County,WA-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Vancouver/Clark County,WA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Vancouver/Clark County,WA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Wisconsin Balance of State,WI-500,Balance of State and Statewide CoCs
2016,Wisconsin Balance of State,WI-500,Balance of State and Statewide CoCs
2015,Wisconsin Balance of State,WI-500,Balance of State and Statewide CoCs
2017,Milwaukee City & County,WI-501,Major Cities
2015,Milwaukee City & County,WI-501,Major Cities
2016,Milwaukee City & County,WI-501,Major Cities
2017,Racine City & County,WI-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Racine City & County,WI-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Racine City & County,WI-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Madison/Dane County,WI-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Madison/Dane County,WI-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Madison/Dane County,WI-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Wheeling, Weirton Area",WV-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Wheeling, Weirton Area",WV-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Wheeling/Weirton Area,WV-500,"Smaller Cities, Counties, and Regional CoCs"
2016,"Huntington/Cabell, Wayne Counties",WV-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Huntington/Cabell, Wayne Counties",WV-501,"Smaller Cities, Counties, and Regional CoCs"
2015,"Huntington/Cabell, Wayne Counties",WV-501,"Smaller Cities, Counties, and Regional CoCs"
2015,"Charleston/Kanawha, Putnam, Boone, Clay Counties",WV-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Charleston/Kanawha, Putnam, Boone, Clay Counties",WV-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Charleston/Kanawha, Putnam, Boone, Clay Counties",WV-503,"Smaller Cities, Counties, and Regional CoCs"
2017,West Virginia Balance of State,WV-508,Balance of State and Statewide CoCs
2015,West Virginia Balance of State,WV-508,Balance of State and Statewide CoCs
2016,West Virginia Balance of State,WV-508,Balance of State and Statewide CoCs
2015,Wyoming Statewide,WY-500,Balance of State and Statewide CoCs
2016,Wyoming Statewide,WY-500,Balance of State and Statewide CoCs
2017,Wyoming Statewide,WY-500,Balance of State and Statewide CoCs
